%META:TOPICINFO{author="TWikiGuest" date="1183788814" format="1.1" version="1.2904"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for %WEB% Web

| *Month:* | *Topic <br> views:* | *Topic <br> saves:* | *File <br> uploads:* | *Most popular <br> topic views:* | *Top contributors for <br> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Jul 2007 |  497 |  0 |  0 | 139 [[WebStatistics]]<br />&nbsp;98 [[WebHome]]<br />&nbsp;27 [[WebNotify]]<br />&nbsp;24 [[ComparisonOfExistingSolutions]]<br />&nbsp;23 [[WebPreferences]]<br />&nbsp;13 [[WebSearch]]<br />&nbsp;12 [[TaxLitStdLevel1]]<br />&nbsp;11 [[WebSearchAdvanced]]<br />&nbsp;11 [[WebChanges]]<br />&nbsp;10 [[Criterion4GeneralComments]]<br />&nbsp;10 [[Criterion13GeneralComments]] |  |
| Jun 2007 |  272 |  0 |  0 | &nbsp;60 [[ComparisonOfExistingSolutions]]<br />&nbsp;54 [[WebStatistics]]<br />&nbsp;32 [[WebHome]]<br />&nbsp;15 [[WebPreferences]]<br />&nbsp;11 [[WebNotify]]<br />&nbsp;&nbsp;8 [[Criterion8GeneralComments]]<br />&nbsp;&nbsp;7 [[Criterion13GeneralComments]]<br />&nbsp;&nbsp;7 [[WebChanges]]<br />&nbsp;&nbsp;7 [[Criterion3GeneralComments]]<br />&nbsp;&nbsp;6 [[Criterion1GeneralComments]]<br />&nbsp;&nbsp;5 [[WebIndex]] |  |
| May 2007 |  2058 |  0 |  0 | 902 [[WebRss]]<br />272 [[WebHome]]<br />102 [[WebNotify]]<br />&nbsp;78 [[WebStatistics]]<br />&nbsp;69 [[WebPreferences]]<br />&nbsp;57 [[ComparisonOfExistingSolutions]]<br />&nbsp;42 [[WebChanges]]<br />&nbsp;39 [[WebSearch]]<br />&nbsp;37 [[WebIndex]]<br />&nbsp;31 [[Criterion9GeneralComments]]<br />&nbsp;30 [[Criterion13GeneralComments]] |  |
| Apr 2007 |  2450 |  0 |  0 | 795 [[WebRss]]<br />480 [[WebHome]]<br />169 [[WebNotify]]<br />125 [[WebPreferences]]<br />&nbsp;88 [[WebStatistics]]<br />&nbsp;86 [[ComparisonOfExistingSolutions]]<br />&nbsp;52 [[WebIndex]]<br />&nbsp;44 [[WebChanges]]<br />&nbsp;42 [[WebSearch]]<br />&nbsp;35 [[TaxLitSdLevel3]]<br />&nbsp;34 [[Criterion8GeneralComments]] |  |
| Mar 2007 |  2023 |  0 |  0 | 761 [[WebRss]]<br />351 [[WebHome]]<br />123 [[WebStatistics]]<br />&nbsp;87 [[WebNotify]]<br />&nbsp;61 [[WebPreferences]]<br />&nbsp;51 [[WebChanges]]<br />&nbsp;49 [[ComparisonOfExistingSolutions]]<br />&nbsp;39 [[WebSearchAdvanced]]<br />&nbsp;39 [[WebIndex]]<br />&nbsp;33 [[WebSearch]]<br />&nbsp;32 [[WebTopicList]] |  |
| Feb 2007 |  1710 |  0 |  0 | 582 [[WebRss]]<br />258 [[WebHome]]<br />109 [[WebStatistics]]<br />&nbsp;92 [[WebNotify]]<br />&nbsp;47 [[WebPreferences]]<br />&nbsp;46 [[ComparisonOfExistingSolutions]]<br />&nbsp;44 [[WebChanges]]<br />&nbsp;43 [[WebSearch]]<br />&nbsp;42 [[WebIndex]]<br />&nbsp;31 [[Criterion5GeneralComments]]<br />&nbsp;31 [[Criterion6GeneralComments]] |  |
| Jan 2007 |  2070 |  0 |  0 | 516 [[WebRss]]<br />456 [[WebHome]]<br />144 [[WebStatistics]]<br />139 [[WebNotify]]<br />&nbsp;83 [[WebPreferences]]<br />&nbsp;56 [[ComparisonOfExistingSolutions]]<br />&nbsp;54 [[WebChanges]]<br />&nbsp;52 [[WebSearch]]<br />&nbsp;49 [[WebIndex]]<br />&nbsp;44 [[Criterion1GeneralComments]]<br />&nbsp;41 [[Criterion8GeneralComments]] |  |
| Dec 2006 |  1383 |  0 |  0 | 339 [[WebRss]]<br />304 [[WebHome]]<br />105 [[WebPreferences]]<br />101 [[WebNotify]]<br />&nbsp;52 [[ComparisonOfExistingSolutions]]<br />&nbsp;42 [[WebIndex]]<br />&nbsp;41 [[WebSearchAdvanced]]<br />&nbsp;37 [[WebStatistics]]<br />&nbsp;36 [[WebSearch]]<br />&nbsp;36 [[WebChanges]]<br />&nbsp;34 [[TaxLitStdLevel2]] |  |
| Nov 2006 |  1921 |  0 |  0 | 525 [[WebRss]]<br />385 [[WebHome]]<br />181 [[WebNotify]]<br />122 [[ComparisonOfExistingSolutions]]<br />&nbsp;75 [[WebPreferences]]<br />&nbsp;46 [[WebStatistics]]<br />&nbsp;44 [[WebIndex]]<br />&nbsp;36 [[WebTopicList]]<br />&nbsp;36 [[WebChanges]]<br />&nbsp;34 [[TaxLitSdLevel3]]<br />&nbsp;33 [[TaxLitStdLevel1]] |  |
| Oct 2006 |  1681 |  1 |  0 | 546 [[WebRss]]<br />415 [[WebHome]]<br />180 [[WebNotify]]<br />&nbsp;91 [[WebStatistics]]<br />&nbsp;81 [[WebPreferences]]<br />&nbsp;48 [[ComparisonOfExistingSolutions]]<br />&nbsp;39 [[WebChanges]]<br />&nbsp;38 [[WebTopicList]]<br />&nbsp;38 [[WebIndex]]<br />&nbsp;36 [[WebSearch]]<br />&nbsp;36 [[TaxLitStdLevel2]] | &nbsp;&nbsp;1 Main.BobMorris |
| Sep 2006 |  1068 |  0 |  0 | 415 [[WebRss]]<br />287 [[WebHome]]<br />&nbsp;91 [[WebNotify]]<br />&nbsp;39 [[WebStatistics]]<br />&nbsp;31 [[WebChanges]]<br />&nbsp;30 [[WebIndex]]<br />&nbsp;27 [[WebTopicList]]<br />&nbsp;26 [[WebPreferences]]<br />&nbsp;25 [[WebSearch]]<br />&nbsp;18 [[TaxLitSdLevel3]]<br />&nbsp;18 [[TaxLitStdLevel1]] |  |
| Aug 2006 |  1116 |  0 |  0 | 454 [[WebRss]]<br />169 [[WebHome]]<br />122 [[WebNotify]]<br />&nbsp;82 [[WebPreferences]]<br />&nbsp;40 [[WebStatistics]]<br />&nbsp;38 [[WebIndex]]<br />&nbsp;32 [[WebChanges]]<br />&nbsp;30 [[WebSearch]]<br />&nbsp;29 [[WebTopicList]]<br />&nbsp;24 [[WebSearchAdvanced]]<br />&nbsp;23 [[TaxLitSdLevel3]] |  |
| Jul 2006 |  715 |  2 |  0 | 300 [[WebRss]]<br />116 [[WebHome]]<br />&nbsp;55 [[WebPreferences]]<br />&nbsp;36 [[WebNotify]]<br />&nbsp;32 [[WebSearch]]<br />&nbsp;27 [[WebIndex]]<br />&nbsp;26 [[WebChanges]]<br />&nbsp;22 [[WebStatistics]]<br />&nbsp;18 [[WebTopicList]]<br />&nbsp;18 [[TaxLitStdLevel1]]<br />&nbsp;17 [[TaxLitSdLevel3]] | &nbsp;&nbsp;2 Main.JenniferForman |
| Jun 2006 |  1048 |  0 |  0 | 443 [[WebRss]]<br /> 148 [[WebHome]]<br /> 130 [[WebStatistics]]<br /> &nbsp;54 [[WebPreferences]]<br /> &nbsp;43 [[WebNotify]]<br /> &nbsp;42 [[WebIndex]]<br /> &nbsp;40 [[WebChanges]]<br /> &nbsp;32 [[WebSearch]]<br /> &nbsp;32 [[TaxLitStdLevel1]]<br /> &nbsp;29 [[WebTopicList]]<br /> &nbsp;26 [[TaxLitSdLevel3]] |  |
| May 2006 |  1069 |  0 |  0 | 483 [[WebRss]]<br /> 140 [[WebHome]]<br /> 106 [[WebStatistics]]<br /> &nbsp;57 [[WebNotify]]<br /> &nbsp;45 [[WebIndex]]<br /> &nbsp;43 [[WebSearch]]<br /> &nbsp;37 [[WebChanges]]<br /> &nbsp;37 [[WebTopicList]]<br /> &nbsp;34 [[TaxLitSdLevel3]]<br /> &nbsp;33 [[WebPreferences]]<br /> &nbsp;29 [[TaxLitStdLevel2]] |  |
| Apr 2006 |  1442 |  0 |  0 | 504 [[WebRss]]<br /> 200 [[WebHome]]<br /> 186 [[WebStatistics]]<br /> 127 [[WebNotify]]<br /> 116 [[WebPreferences]]<br /> &nbsp;63 [[WebIndex]]<br /> &nbsp;45 [[TaxLitStdLevel1]]<br /> &nbsp;44 [[WebChanges]]<br /> &nbsp;43 [[WebSearch]]<br /> &nbsp;40 [[TaxLitStdLevel2]]<br /> &nbsp;39 [[WebTopicList]] |  |
| Mar 2006 |  1944 |  0 |  0 | 567 [[WebRss]]<br /> 473 [[WebHome]]<br /> 195 [[WebStatistics]]<br /> 135 [[WebNotify]]<br /> 117 [[WebPreferences]]<br /> &nbsp;88 [[WebIndex]]<br /> &nbsp;81 [[WebSearch]]<br /> &nbsp;76 [[WebChanges]]<br /> &nbsp;62 [[TaxLitStdLevel1]]<br /> &nbsp;61 [[WebTopicList]]<br /> &nbsp;49 [[TaxLitSdLevel3]] |  |
| Feb 2006 |  1142 |  0 |  0 | 281 [[WebRss]]<br /> 260 [[WebHome]]<br /> 114 [[WebNotify]]<br /> &nbsp;99 [[WebStatistics]]<br /> &nbsp;88 [[WebPreferences]]<br /> &nbsp;61 [[WebSearch]]<br /> &nbsp;54 [[WebChanges]]<br /> &nbsp;52 [[WebIndex]]<br /> &nbsp;38 [[WebTopicList]]<br /> &nbsp;33 [[TaxLitStdLevel1]]<br /> &nbsp;31 [[TaxLitSdLevel3]] |  |
| Jan 2006 |  1421 |  0 |  0 | 426 [[WebHome]]<br /> 149 [[WebNotify]]<br /> 147 [[WebRss]]<br /> 139 [[WebStatistics]]<br /> 114 [[WebChanges]]<br /> 109 [[WebPreferences]]<br /> &nbsp;98 [[WebIndex]]<br /> &nbsp;75 [[WebSearch]]<br /> &nbsp;45 [[WebTopicList]]<br /> &nbsp;42 [[TaxLitStdLevel1]]<br /> &nbsp;41 [[TaxLitSdLevel3]] |  |
| Dec 2005 |  1246 |  0 |  0 | 372 [[WebHome]]<br /> 132 [[WebRss]]<br /> 123 [[WebNotify]]<br /> 107 [[WebChanges]]<br /> 105 [[WebStatistics]]<br /> &nbsp;88 [[WebIndex]]<br /> &nbsp;76 [[WebPreferences]]<br /> &nbsp;75 [[WebSearch]]<br /> &nbsp;50 [[WebTopicList]]<br /> &nbsp;41 [[TaxLitStdLevel2]]<br /> &nbsp;39 [[TaxLitStdLevel1]] |  |
| Nov 2005 |  1132 |  0 |  0 | 293 [[WebHome]]<br /> 180 [[WebNotify]]<br /> 130 [[WebStatistics]]<br /> 108 [[WebRss]]<br /> &nbsp;95 [[WebChanges]]<br /> &nbsp;89 [[WebIndex]]<br /> &nbsp;71 [[WebPreferences]]<br /> &nbsp;58 [[WebSearch]]<br /> &nbsp;32 [[WebTopicList]]<br /> &nbsp;27 [[TaxLitStdLevel1]]<br /> &nbsp;25 [[TaxLitStdLevel2]] |  |
| Oct 2005 |  561 |  10 |  0 | 116 [[WebHome]]<br /> &nbsp;76 [[WebStatistics]]<br /> &nbsp;68 [[WebRss]]<br /> &nbsp;54 [[WebChanges]]<br /> &nbsp;47 [[WebIndex]]<br /> &nbsp;42 [[WebNotify]]<br /> &nbsp;37 [[WebPreferences]]<br /> &nbsp;29 [[WebSearch]]<br /> &nbsp;26 [[TaxLitStdLevel1]]<br /> &nbsp;24 [[TaxLitSdLevel3]]<br /> &nbsp;21 [[TaxLitStdLevel2]] | &nbsp;&nbsp;9 Main.BobMorris<br /> &nbsp;&nbsp;1 Main.ChuckMiller |
| Sep 2005 |  145 |  35 |  0 | &nbsp;57 [[WebHome]]<br /> &nbsp;28 [[WebPreferences]]<br /> &nbsp;10 [[WebChanges]]<br /> &nbsp;&nbsp;9 [[WebNotify]]<br /> &nbsp;&nbsp;8 [[ImageCollaborationsBesidesThis]]<br /> &nbsp;&nbsp;7 [[ImageTopicsFromStPetersburg]]<br /> &nbsp;&nbsp;7 [[WebRss]]<br /> &nbsp;&nbsp;6 [[WebSearch]]<br /> &nbsp;&nbsp;4 [[WebIndex]]<br /> &nbsp;&nbsp;1 [[WebStatistics]] | &nbsp;34 Main.BobMorris<br /> &nbsp;&nbsp;1 Main.RupertWilson |
| Aug 2005 |  10164 |  0 |  0 | 1999 [[WebRss]]<br /> 495 [[UBioXidDevelopment]]<br /> 485 [[SchemaDiscussion]]<br /> 330 [[SDD2004Berlin]]<br /> 326 [[SecondaryClassifiersWithinClasses]]<br /> 280 [[UMASSBostonElectronicFieldGuideProjectSDDExport]]<br /> 239 [[WebHome]]<br /> 231 [[WebStatistics]]<br /> 230 [[SchemaChangeLog091EarlyBetaVersions]]<br /> 229 [[DebugRef]]<br /> 191 [[SchemaProposals]] |  |
